"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"108","cAIiey","gmTfhF","GCST012879","GCST90277259","Inverse variance weighted",17,-0.000729865056200134,0.0455380535075173,0.987212384295818,-0.0899844499309341,0.0885247198185338,0.999270401230512,0.913945397074778,1.09256126019276
"109","cAIiey","gmTfhF","GCST012879","GCST90277259","Simple mode",17,0.00175343702681963,0.1010686960148,0.986372726535894,-0.196341207162188,0.199848081215827,1.00175497519642,0.821731806061155,1.22121721823202
"110","cAIiey","gmTfhF","GCST012879","GCST90277259","Weighted mode",17,0.0396482601043919,0.0924481217901413,0.673735993703693,-0.141550058604285,0.220846578813069,1.04044474389683,0.868011723041956,1.2471320794019
"111","ttad1g","92ekkz","GCST012879","GCST90277260","MR Egger",13,-0.118089289889739,0.15202199832548,0.453662622325523,-0.41605240660768,0.179873826828203,0.888616704584609,0.659645699785134,1.19706631593903
"112","ttad1g","92ekkz","GCST012879","GCST90277260","Weighted median",13,-0.0584270858217824,0.0757303076019399,0.440401597571089,-0.206858488721585,0.0900043170780198,0.943247013973232,0.813134709578541,1.09417900735116
"113","ttad1g","92ekkz","GCST012879","GCST90277260","Inverse variance weighted",13,-0.0672162302493217,0.0595217309312864,0.258783065486424,-0.183878822874643,0.0494463623759996,0.934993005706421,0.832036621524137,1.0506892342293
"114","ttad1g","92ekkz","GCST012879","GCST90277260","Simple mode",13,0.0776068513637006,0.137029704987344,0.581593062796074,-0.190971370411494,0.346185073138895,1.08069770031253,0.826156240325818,1.41366422288378
"115","ttad1g","92ekkz","GCST012879","GCST90277260","Weighted mode",13,0.0622296266189309,0.111541361767805,0.587166107703295,-0.156391442445968,0.280850695683829,1.06420668685658,0.855224353727782,1.3242558720571
"116","KV7BdP","IoEPey","GCST012879","GCST90277261","MR Egger",19,0.00577475453826828,0.102918424737191,0.95590836306966,-0.195945357946625,0.207494867023162,1.00579146057553,0.822057152341774,1.23059140022673
"117","KV7BdP","IoEPey","GCST012879","GCST90277261","Weighted median",19,0.0157041074802819,0.0575636219644717,0.784996924798973,-0.0971205915700827,0.128528806530647,1.01582806500687,0.907446569128278,1.13715417828609
"118","KV7BdP","IoEPey","GCST012879","GCST90277261","Inverse variance weighted",19,-0.00398010286423119,0.0448686422832579,0.929315828269336,-0.0919226417394167,0.0839624360109544,0.996027807247341,0.912175711142154,1.08758803889632
"119","KV7BdP","IoEPey","GCST012879","GCST90277261","Simple mode",19,-0.011338183109214,0.10129004667511,0.912111575261272,-0.20986667459243,0.187190308374002,0.988725851847049,0.810692324649807,1.20585674785185
"120","KV7BdP","IoEPey","GCST012879","GCST90277261","Weighted mode",19,0.0258273811013029,0.0771364079892056,0.741625529418743,-0.12535997855754,0.177014740760146,1.02616379791944,0.882179279794696,1.19364868828647
"121","i0rose","0IzSjw","GCST012879","GCST90277262","MR Egger",23,0.044524410925287,0.107544312215366,0.683064809150738,-0.16626244101683,0.255311262867404,1.04553049876584,0.846823963682121,1.29086335617668
"122","i0rose","0IzSjw","GCST012879","GCST90277262","Weighted median",23,0.00611178474682621,0.0572882044506578,0.915038984667829,-0.106173095976463,0.118396665470116,1.00613049981128,0.899268974761811,1.1256905453884
"123","i0rose","0IzSjw","GCST012879","GCST90277262","Inverse variance weighted",23,-0.0186391781280915,0.0400820064745806,0.641912784183348,-0.0971999108182694,0.0599215545620864,0.981533457095711,0.907374594003189,1.06175325357949
"124","i0rose","0IzSjw","GCST012879","GCST90277262","Simple mode",23,-0.088684631924229,0.0924854244431804,0.348027735513226,-0.269956063832863,0.0925867999844046,0.915134132161309,0.763413035042725,1.09700835773621
"125","i0rose","0IzSjw","GCST012879","GCST90277262","Weighted mode",23,0.0198034101350805,0.0686648271248547,0.775735097770378,-0.114779651029635,0.154386471299796,1.02000079849599,0.891562577159997,1.16694178915245
"126","W4MeMk","fvqlRI","GCST012879","GCST90277263","MR Egger",14,0.204984604102033,0.171078507966178,0.25397245709494,-0.130329271511677,0.540298479715743,1.22750616625801,0.877806346706836,1.71651913187255
"127","W4MeMk","fvqlRI","GCST012879","GCST90277263","Weighted median",14,0.0691906662676005,0.0757238777873129,0.360862294005136,-0.0792281341955328,0.217609466730734,1.07164051536785,0.923829143384381,1.24310150031719
"128","W4MeMk","fvqlRI","GCST012879","GCST90277263","Inverse variance weighted",14,0.0139186902393089,0.0557296356338754,0.80277772257374,-0.0953113956030869,0.123148776081705,1.01401600618763,0.909089803819979,1.1310526820168
